,0
0,-44585.095661635845
1,-44570.50034267965
2,-44560.756144225656
3,-44562.919789999985
4,-44557.63764750693
5,-44570.21622951377
6,-44558.86596694322
7,-44584.411913504584
8,-44567.393972284
9,-44563.05761173861
10,-44582.6576413024
11,-44534.55013244511
12,-44554.180355345794
13,-44558.53395460412
14,-44560.99880392074
15,-44565.323521208804
16,-44549.10514630717
17,-44567.18485827495
18,-44546.50026118764
19,-44561.45447878911
20,-44576.03053398192
21,-44539.40416759577
22,-44544.933757536724
23,-44547.35553476968
24,-44557.98461644673
25,-44560.51737083643
26,-44554.08961472266
27,-44565.208519719425
28,-44568.62277846459
29,-44547.05771369564
30,-44550.36030600984
31,-44563.469863657505
32,-44547.21264323687
33,-44543.003336592796
34,-44559.71373226728
35,-44586.165347781476
36,-44561.68010865638
37,-44562.63673661735
38,-44563.25226160333
39,-44563.11923466595
40,-44582.67886354853
41,-44573.90363054389
42,-44588.69988207745
43,-44561.6482032096
44,-44577.728987297975
45,-44564.142672899805
46,-44587.32020759089
47,-44571.65444611883
48,-44576.24384584285
49,-44551.18497978171
50,-44578.50278814139
51,-44592.43895917708
52,-44546.70334162792
53,-44586.71114934785
54,-44566.85677092428
55,-44571.47548599912
56,-44548.769612374264
57,-44609.147102366085
58,-44582.251849297594
59,-44556.34023546434
60,-44578.86488634691
61,-44568.940645115516
62,-44559.431860496625
63,-44554.31869699812
64,-44587.640152010055
65,-44580.4229133051
66,-44575.97226424916
67,-44572.691975787995
68,-44556.653537071354
69,-44581.910941570866
70,-44576.08317103059
71,-44605.1195062902
72,-44562.20770383655
73,-44536.392101322264
74,-44598.40238947983
75,-44586.503422292924
76,-44563.24597716822
77,-44551.183573955735
78,-44562.435287573186
79,-44559.22017811483
80,-44564.64120259149
81,-44567.93018246953
82,-44540.020720573644
83,-44592.82290389648
84,-44546.52347937485
85,-44558.21290446365
86,-44562.41842286634
87,-44567.02921112381
88,-44564.41364778161
89,-44550.31071059472
90,-44544.68105321826
91,-44572.147133082966
92,-44561.694728275004
93,-44568.1468818647
94,-44570.80274286242
95,-44572.86467576158
96,-44566.06523922915
97,-44546.65176740101
98,-44560.3821803887
99,-44556.40468836198
100,-44568.083772845464
101,-44547.59328959672
102,-44569.936072644974
103,-44549.05650339633
104,-44565.97444076332
105,-44557.26008439304
106,-44582.01174284382
107,-44570.855261877565
108,-44566.04812026594
109,-44550.29173814715
110,-44585.4466060877
111,-44565.15080306901
112,-44565.98349574913
113,-44552.37716609189
114,-44540.28590620693
115,-44542.20326614087
116,-44548.97782977329
